N;Date;Jour;Semaine;Heures;Cumul;Bloc;Tache;Livrables
1;14/09/2026;lundi;1;4;4;Cadrage;Lancement, appropriation du sujet, questions aux encadrants, répartition des rôles;G1 G4
2;16/09/2026;mercredi;1;4;8;Cadrage;Rédaction du cahier des charges / expression des besoins;G1
3;17/09/2026;jeudi;1;4;12;Cadrage;Objectifs, périmètre et critères de réussite;G1 G2
4;18/09/2026;vendredi;1;8;20;Cadrage;Réunion point avancement : validation du CDC. Analyse des risques. Lancement des démarches longues (plans AutoCAD, DSI, service technique);G5 G6 T2
5;21/09/2026;lundi;2;4;24;Revue de l'existant;Inventaire de la plateforme ECAM existante;T1
6;22/09/2026;mardi;2;2;26;Revue de l'existant;Revue des matériels et logiciels disponibles;T1
7;23/09/2026;mercredi;2;4;30;Revue de l'existant;Relevé du parc de compteurs existant sur site;T1
8;28/09/2026;lundi;3;6;36;Propagation;Bilan de liaison théorique et choix du modèle d'affaiblissement;T3
9;29/09/2026;mardi;3;2;38;Propagation;Protocole de la campagne de mesures. Commande du kit de test;T3
10;09/10/2026;vendredi;4;4;42;Propagation;Simulation de couverture. Relance des démarches en attente;T3
11;03/11/2026;mardi;8;4;46;Propagation;Campagne de mesures terrain — bâtiment A;T3
12;04/11/2026;mercredi;8;2;48;Propagation;Campagne de mesures terrain — bâtiment B;T3
13;06/11/2026;vendredi;8;2;50;Propagation;Campagne de mesures terrain — locaux techniques enterrés;T3
14;13/11/2026;vendredi;9;4;54;Propagation;Analyse des écarts simulation / terrain. Nomenclature préliminaire et demandes de devis;T3 T4
15;19/11/2026;jeudi;10;2;56;Plan de déploiement;Récupération et préparation des plans des bâtiments;T2
16;20/11/2026;vendredi;10;8;64;Plan de déploiement;Positionnement des passerelles et des points de comptage;T2
17;27/11/2026;vendredi;11;8;72;Plan de déploiement;Production du plan de déploiement AutoCAD;T2
18;01/12/2026;mardi;12;2;74;Chiffrage;Consolidation des devis fournisseur;T4
19;04/12/2026;vendredi;12;4;78;Chiffrage;Devis d'installation, validation du budget, COMMANDE DU MATÉRIEL;T5
20;07/12/2026;lundi;13;8;86;Mise en œuvre;Mise en service de la passerelle et du serveur de réseau;T6
21;08/12/2026;mardi;13;4;90;Mise en œuvre;Configuration des nœuds et du décodeur de payload;T6
22;09/12/2026;mercredi;13;8;98;Mise en œuvre;Intégration dans la plateforme ECAM;T6
23;10/12/2026;jeudi;13;8;106;Mise en œuvre;Intégration dans la plateforme ECAM (suite);T6
24;11/12/2026;vendredi;13;8;114;Mise en œuvre;Tests de bout en bout sur le kit de test;T6
25;04/01/2027;lundi;17;4;118;Installation;Préparation du chantier avec le service technique;T6
26;05/01/2027;mardi;17;8;126;Installation;Suivi des travaux, pose des compteurs;T6
27;06/01/2027;mercredi;17;8;134;Installation;Mise en service des nœuds sur site;T6
28;07/01/2027;jeudi;17;4;138;Installation;Recette de bout en bout;T6
29;08/01/2027;vendredi;17;4;142;Installation;Reprises et vérification des relevés;T6
30;11/01/2027;lundi;18;8;150;Rapport;Rapport technique d'installation;T7
31;22/01/2027;vendredi;19;4;154;Rapport;Notice d'exploitation;T7
32;25/01/2027;lundi;20;8;162;Clôture;Rapport final de projet;G9
33;26/01/2027;mardi;20;4;166;Clôture;Rapport final, consolidation des livrables;G9
34;27/01/2027;mercredi;20;6;172;Clôture;Préparation de la soutenance et de la démonstration;G10
35;28/01/2027;jeudi;20;8;180;Clôture;Soutenance finale;G10
