ID;Bloc;Tache;Livrable;Responsable;Charge_h;Sem_debut;Duree_sem;Type
T-01;Cadrage;Lancement, questions aux encadrants, répartition des rôles;G1 G4;;4;1;1;Travail
T-02;Cadrage;Rédaction du cahier des charges;G1;;8;1;1;Travail
T-03;Cadrage;Objectifs, périmètre et critères de réussite;G2;;2;1;1;Travail
T-04;Cadrage;Réunion de point d'avancement, validation du CDC;G6;;2;1;1;Travail
T-05;Cadrage;Analyse des risques et plan d'actions;G5;;2;1;1;Travail
T-06;Cadrage;Lancement des démarches longues (plans AutoCAD, DSI, service technique);T2;;2;1;1;Travail
T-07;Revue de l'existant;Inventaire de la plateforme ECAM existante;T1;;4;2;1;Travail
T-08;Revue de l'existant;Revue des matériels et logiciels disponibles;T1;;2;2;1;Travail
T-09;Revue de l'existant;Relevé du parc de compteurs existant sur site;T1;;4;2;1;Travail
T-10;Propagation;Bilan de liaison théorique et modèle d'affaiblissement;T3;;6;3;1;Travail
T-11;Propagation;Protocole de mesures et commande des nœuds de test;T3;;2;3;1;Travail
T-12;Propagation;Simulation de couverture;T3;;4;4;1;Travail
T-13;Propagation;Campagne de mesures terrain;T3;;8;8;1;Travail
T-14;Propagation;Analyse des écarts simulation / terrain;T3;;2;9;1;Travail
T-15;Chiffrage;Nomenclature préliminaire et demandes de devis;T4;;2;9;1;Travail
T-16;Plan de déploiement;Récupération et préparation des plans;T2;;2;10;1;Travail
T-17;Plan de déploiement;Positionnement des passerelles et points de comptage;T2;;8;10;1;Travail
T-18;Plan de déploiement;Production du plan de déploiement AutoCAD;T2;;8;11;1;Travail
T-19;Chiffrage;Consolidation des devis fournisseur;T4;;2;12;1;Travail
T-20;Chiffrage;Devis d'installation, validation du budget, COMMANDE;T5;;4;12;1;Travail
T-21;Mise en œuvre;Mise en service de la passerelle et du serveur de réseau;T6;;8;13;1;Travail
T-22;Mise en œuvre;Configuration des nœuds et du décodeur de payload;T6;;4;13;1;Travail
T-23;Mise en œuvre;Intégration dans la plateforme ECAM;T6;;16;13;1;Travail
T-24;Mise en œuvre;Tests de bout en bout sur un nœud de test;T6;;8;13;1;Travail
T-25;Installation;Préparation du chantier avec le service technique;T6;;4;17;1;Travail
T-26;Installation;Suivi des travaux, pose des compteurs;T6;;8;17;1;Travail
T-27;Installation;Mise en service des nœuds sur site;T6;;8;17;1;Travail
T-28;Installation;Recette de bout en bout;T6;;4;17;1;Travail
T-29;Installation;Reprises et vérification des relevés;T6;;4;17;1;Travail
T-30;Rapport;Rapport technique d'installation;T7;;8;18;1;Travail
T-31;Rapport;Notice d'exploitation;T7;;4;19;1;Travail
T-32;Clôture;Rapport final de projet;G9;;12;20;1;Travail
T-33;Clôture;Préparation de la soutenance et de la démonstration;G10;;6;20;1;Travail
T-34;Clôture;Soutenance finale;G10;;8;20;1;Travail
D-01;Délai subi;Attente des réponses encadrants, DSI et service technique;;;0;2;6;Délai subi
D-02;Délai subi;Livraison des nœuds de test;;;0;4;4;Délai subi
D-03;Délai subi;Instruction des devis par les fournisseurs;;;0;9;3;Délai subi
D-04;Délai subi;Approvisionnement du matériel commandé;;;0;13;4;Délai subi
D-05;Délai subi;Attente du créneau du service technique;;;0;13;4;Délai subi
